,A,B,S,C
0,['marital status=married'],['dual incomes=yes'],0.2370564281559046,0.6146304675716441
1,['dual incomes=yes'],['marital status=married'],0.2370564281559046,0.9357060849598163
2,['marital status=single'],['sex=male'],0.20898778359511344,0.510842516885887
3,['occupation=professional/managerial'],['type of home=house'],0.2022978475858057,0.5962280325760823
4,['householder status=own'],['number of children=0'],0.24374636416521234,0.6486068111455109
5,['number of children=1+'],['dual incomes=not married'],0.20127981384525886,0.5323076923076923
6,['years in bay area=1-9'],['age=14-34'],0.2531995346131472,0.7164609053497942
7,['marital status=married'],['sex=female'],0.2310936591041303,0.5991704374057315
8,['number of children=0'],"['income=$0-$40,000']",0.38481675392670156,0.6188026192703461
9,"['income=$0-$40,000']",['number of children=0'],0.38481675392670156,0.6182242990654205
10,['sex=male'],"['income=$0-$40,000']",0.27108784176847006,0.6077600260841213
11,['language in home=english'],['age=14-34'],0.524869109947644,0.5749561892623865
12,['age=14-34'],['language in home=english'],0.524869109947644,0.8966459627329193
13,['ethnic classification=white'],['number in household=1'],0.5001454333915067,0.7467969598262758
14,['number in household=1'],['ethnic classification=white'],0.5001454333915067,0.7229346226613412
15,['householder status=rent'],['dual incomes=not married'],0.2844677137870855,0.6786953504510757
16,['sex=female'],['number in household=1'],0.37347294938917974,0.6741927014964557
17,['number in household=1'],['sex=female'],0.37347294938917974,0.5398360311120454
18,['years in bay area=1-9'],['language in home=english'],0.31151832460732987,0.8814814814814815
19,['number of children=1+'],['language in home=english'],0.33275159976730656,0.88
20,['householder status=rent'],['sex=female'],0.21465968586387435,0.5121443442054129
21,['language in home=english'],['number in household=1'],0.6495055264688773,0.7114863788433965
22,['number in household=1'],['language in home=english'],0.6495055264688773,0.9388269918015556
23,['language in home=english'],['ethnic classification=white'],0.6595404304828388,0.7224788911900589
24,['ethnic classification=white'],['language in home=english'],0.6595404304828388,0.9847991313789359
25,['number in household=2+'],['age=14-34'],0.2111692844677138,0.6852288815479
26,['sex=female'],['age=14-34'],0.31660849331006397,0.5715410868994487
27,['age=14-34'],['sex=female'],0.31660849331006397,0.5408695652173913
28,['ethnic classification=white'],['education=no college graduate'],0.44618964514252474,0.6662323561346363
29,['education=no college graduate'],['ethnic classification=white'],0.44618964514252474,0.6327077747989276
30,['years in bay area=1-9'],['number in household=1'],0.252326934264107,0.7139917695473251
31,['marital status=married'],['education=no college graduate'],0.23894706224549156,0.6195324283559578
